City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Qaqortoq,60.7167,-46.0333,276.19,81,99,4.13,GL,1697142980
81,Invercargill,-46.4,168.35,288.72,59,96,7.15,NZ,1697143041
82,Mokopane,-24.1944,29.0097,299.01,26,66,1.44,ZA,1697143041
83,Hermanus,-34.4187,19.2345,287.74,79,100,4.25,ZA,1697143041
84,Ribeira Grande,38.5167,-28.7,293.37,77,20,3.09,PT,1697143041
85,Saint-Joseph,-21.3667,55.6167,295.36,86,56,3.05,RE,1697142676
86,Minas De Marcona,-15.2119,-75.1103,291.44,63,37,6.07,PE,1697142959
87,Vangviang,18.9333,102.45,294.7,98,80,1.01,LA,1697143042
88,Priyutnoye,46.1011,43.5072,278.75,52,0,4.12,RU,1697143042
89,Kota Belud,6.351,116.4305,298.14,87,100,1.73,MY,1697143042
90,Alwar,27.5667,76.6,298.91,26,0,1.21,IN,1697143042
91,Punta Arenas,-53.15,-70.9167,284.21,62,20,13.38,CL,1697142934
92,Tofol,5.3248,163.0078,301.62,74,46,3.61,FM,1697143042
93,Ilanskiy,56.2358,96.065,278.72,77,100,3.38,RU,1697142797
94,Iskateley,67.6803,53.1512,274.27,76,100,4.02,RU,1697143042
95,Artesia,33.8658,-118.0831,304.64,55,0,5.14,US,1697143042
96,Hawaiian Paradise Park,19.5933,-154.9731,301.97,72,100,2.06,US,1697143042
97,Al Jawf,29.5,38.75,296.01,41,0,3.25,SA,1697143043
98,Al Mindak,20.1588,41.2834,295.93,23,0,3.19,SA,1697143043
99,Igarka,67.4667,86.5833,274.28,99,100,2.72,RU,1697143043
100,Basse-Terre,16.1667,-61.6667,301.73,70,20,4.12,GP,1697143043
101,Oltinko'L,40.8011,72.1634,292.65,29,98,1.14,UZ,1697143043
102,Huanggang,23.677,116.9996,297.09,80,87,1.12,CN,1697143043
103,Greymouth,-42.4667,171.2,284.59,94,98,0.99,NZ,1697143043
104,Happy Valley-Goose Bay,53.3168,-60.3315,284.32,82,75,5.14,CA,1697143043
105,Rongelap,11.1635,166.8941,301.37,77,46,4.52,MH,1697143044
106,Ilulissat,69.2167,-51.1,269.16,58,75,1.03,GL,1697142935
107,Gisborne,-38.6533,178.0042,288.84,56,0,2.4,NZ,1697143044
108,Ketchikan,55.3422,-131.6461,287.14,76,100,6.69,US,1697142979
109,Priozersk,61.0393,30.1291,280.34,42,100,7.61,RU,1697143044
110,San Rafael Del Sur,11.8485,-86.4384,306.69,77,64,3.11,NI,1697143044
111,Vernon,50.2581,-119.2691,292.46,55,7,1.54,CA,1697143044
112,Palmerston,-12.486,130.9833,298.65,88,9,1.03,AU,1697143044
113,Benguela,-12.5763,13.4055,296.26,84,62,4.47,AO,1697143044
114,Aasiaat,68.7098,-52.8699,264.15,84,94,3.94,GL,1697143044
115,Kenai,60.5544,-151.2583,275.45,98,100,3.6,US,1697142892
116,Ndele,8.4109,20.6473,296.43,87,28,0.27,CF,1697143045
117,Ribeira Brava,32.65,-17.0667,301.0,19,100,1.83,PT,1697143045
118,Sao Raimundo Das Mangabeiras,-7.0219,-45.4811,305.37,29,8,1.64,BR,1697143045
119,Vorgashor,67.5833,63.95,272.58,73,100,6.52,RU,1697143045
120,Auki,-8.7676,160.7034,298.49,87,100,1.75,SB,1697143045
121,Mogocha,53.7333,119.7667,278.57,66,39,1.79,RU,1697143045
122,Haiku-Pauwela,20.9219,-156.3051,301.16,65,20,8.75,US,1697143045
123,Kapa'A,22.0752,-159.319,302.3,65,40,5.14,US,1697143045
124,Usogorsk,63.4106,48.6872,275.74,96,100,4.93,RU,1697143045
125,Launceston,-41.45,147.1667,284.15,87,40,1.03,AU,1697143046
126,Podujeva,42.9106,21.1931,288.93,50,0,0.95,XK,1697142763
127,Kapuskasing,49.4169,-82.4331,283.2,87,75,4.12,CA,1697142997
128,Port Lincoln,-34.7333,135.8667,286.75,71,99,5.55,AU,1697142976
129,Arkhangel'Sk,64.5401,40.5433,277.66,94,77,2.38,RU,1697142956
130,Kalamata,37.0389,22.1142,293.21,64,0,2.24,GR,1697143046
131,Rawson,-43.3002,-65.1023,283.75,49,8,4.19,AR,1697143046
132,Colonia,50.9333,6.95,291.09,94,100,3.09,DE,1697143046
133,Ed Damer,17.5928,33.9592,306.83,26,0,6.51,SD,1697143046
134,Hamilton,39.1834,-84.5333,300.61,48,0,4.12,US,1697142409
135,Kerikeri,-35.2268,173.9474,286.43,95,15,0.89,NZ,1697143017
136,Bilibino,68.0546,166.4372,263.13,91,100,2.09,RU,1697143046
137,Ujae,8.9322,165.7642,301.28,77,97,3.77,MH,1697143047
138,Dudinka,69.4058,86.1778,274.64,93,98,6.71,RU,1697143047
139,Labytnangi,66.6572,66.4183,272.16,92,100,3.99,RU,1697143047
140,Puerto Ayacucho,5.6639,-67.6236,306.41,57,35,1.1,VE,1697142821
141,New Haven,41.4001,-72.9329,294.48,51,0,2.57,US,1697142939
142,Grantsville,40.5999,-112.4644,282.35,78,100,2.06,US,1697143047
143,Xylofagou,34.9772,33.8492,297.31,77,0,2.33,CY,1697143047
144,Damavand,35.7178,52.065,285.16,76,81,2.03,IR,1697143047
145,Impfondo,1.6381,18.0667,297.85,72,5,0.66,CG,1697143047
146,Salekhard,66.53,66.6019,272.15,91,100,4.53,RU,1697142919
147,Mahina,-17.5065,-149.489,302.02,65,40,4.63,PF,1697143048
148,San Ramon De La Nueva Oran,-23.1322,-64.326,295.05,43,100,1.06,AR,1697143048
149,Yabucoa,18.0505,-65.8793,305.75,85,53,4.3,PR,1697143048
150,Libertad,8.9442,125.5019,296.98,94,44,1.37,PH,1697143048
151,Enriquillo,17.9,-71.2333,305.97,72,75,3.59,DO,1697143048
152,Pedra,-8.4969,-36.9408,299.38,48,73,3.52,BR,1697143048
153,Ulladulla,-35.35,150.4667,284.69,71,0,2.77,AU,1697143048
154,College,64.8569,-147.8028,271.93,82,100,1.54,US,1697143048
155,Hasaki,35.7333,140.8333,287.2,50,3,5.5,JP,1697143048
156,Kodiak,57.79,-152.4072,276.88,65,100,6.69,US,1697143049
157,Ust'-Ilimsk,58.0006,102.6619,277.28,75,100,3.13,RU,1697143049
158,Geraldton,-28.7667,114.6,295.38,24,100,5.14,AU,1697143015
159,Tazovsky,67.4667,78.7,273.68,97,100,1.96,RU,1697143049
160,Ribas Do Rio Pardo,-20.4431,-53.7592,308.31,33,82,5.87,BR,1697143049
161,Olonkinbyen,70.9221,-8.7187,273.18,83,94,9.53,SJ,1697143049
162,I-N-Salah,27.1935,2.4607,303.84,18,61,8.84,DZ,1697143049
163,Chibougamau,49.9168,-74.3659,282.94,76,100,3.09,CA,1697143049
164,Coquimbo,-29.9533,-71.3436,292.0,59,0,6.17,CL,1697142751
165,Chernyshevskiy,63.0128,112.4714,271.2,89,95,2.59,RU,1697143049
166,Tamalous,36.8376,6.6402,295.75,50,3,1.9,DZ,1697143050
167,Castillos,-34.1667,-53.8333,282.26,62,5,4.58,UY,1697143050
168,Reggane,26.7158,0.1714,302.64,19,3,6.94,DZ,1697143050
169,Cabo San Lucas,22.8909,-109.9124,306.82,61,0,8.75,MX,1697143018
170,Kinango,-4.1372,39.3153,295.33,92,97,1.8,KE,1697143050
171,Harper,4.375,-7.7169,298.5,88,91,2.57,LR,1697143035
172,Rio Grande,-32.035,-52.0986,287.21,66,79,6.78,BR,1697143050
173,Mokhsogollokh,61.4681,128.9203,274.94,96,100,2.48,RU,1697143050
174,Imaricho-Ko,33.2667,129.8833,291.94,75,97,1.72,JP,1697143050
175,Nadi,-17.8,177.4167,296.15,83,75,2.06,FJ,1697142893
176,Grand Baie,-20.0182,57.5802,295.62,72,9,1.94,MU,1697143018
177,Mikhaylovka,50.06,43.2379,281.36,36,100,7.81,RU,1697143051
178,Port Mathurin,-19.6833,63.4167,296.27,74,1,3.72,MU,1697142922
179,Quellon,-43.1167,-73.6167,282.5,65,50,4.36,CL,1697142789
180,Monrovia,6.3005,-10.7969,299.02,83,77,3.3,LR,1697142916
181,Galappo,-4.2667,35.85,294.65,53,99,2.59,TZ,1697143051
182,Kudahuvadhoo,2.6708,72.8944,301.28,68,95,4.55,MV,1697143051
183,Saipan,15.1355,145.701,301.54,94,100,6.69,MP,1697143051
184,West Island,-12.1568,96.8225,298.14,78,75,5.66,CC,1697143051
185,Farap,39.1704,63.6116,280.15,76,75,3.09,TM,1697143051
186,Kailua-Kona,19.6406,-155.9956,303.3,69,0,3.6,US,1697143051
187,Lazaro Cardenas,17.9583,-102.2,301.16,81,60,1.77,MX,1697143052
188,Vadso,70.0744,29.7487,277.64,87,75,7.72,NO,1697143052
189,Abaza,52.655,90.0928,283.01,76,100,1.21,RU,1697143052
190,Palopo,-2.9996,120.1921,297.38,80,100,1.32,ID,1697143052
191,Vorkuta,67.5,64.0,272.97,71,100,6.7,RU,1697143052
192,Manhattan,40.7834,-73.9662,295.94,38,0,4.63,US,1697142986
193,Gradiska,45.1411,17.25,288.29,75,21,0.96,BA,1697143052
194,Palmer,42.1584,-72.3287,293.19,46,75,1.34,US,1697143052
195,San Antonio De Pale,-1.4014,5.6325,298.49,84,68,4.98,GQ,1697143052
196,Whitehorse,60.7161,-135.0538,279.87,71,75,4.63,CA,1697142945
197,Madalena,41.2162,-8.3345,296.23,49,95,1.52,PT,1697143053
198,Mammoth Lakes,37.6485,-118.9721,284.96,29,0,2.57,US,1697142774
199,Northam,51.0333,-4.2167,288.85,98,100,4.93,GB,1697143053
200,Charters Towers,-20.1,146.2667,291.54,78,8,2.34,AU,1697143053
